Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident,Avoid oily food,Drink plenty of water,Get adequate rest,Exercise lightly
Unspecified pedal cyclist injured in collision with railway train or railway vehicle in nontraffic accident,Take medicines on time,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Hereditary corneal dystrophies,Take medicines on time,Maintain hygiene,Drink plenty of water,Get adequate rest
"Drug-induced gout, knee",Exercise lightly,Monitor vitals regularly,Get adequate rest,Maintain hygiene
Encounter for screening for dental disorders,Maintain hygiene,Monitor vitals regularly,Get adequate rest,Exercise lightly
Encounter for mental health services for spousal or partner abuse problems,Drink plenty of water,Get adequate rest,Monitor vitals regularly,Avoid oily food
"Other injury of muscle, fascia and tendon of pelvis",Maintain hygiene,Drink plenty of water,Avoid oily food,Take medicines on time
"Burn of second degree of right ear [any part, except ear drum]",Take medicines on time,Drink plenty of water,Get adequate rest,Maintain hygiene
Displaced comminuted supracondylar fracture without intercondylar fracture of left humerus,Take medicines on time,Maintain hygiene,Drink plenty of water,Exercise lightly
Underdosing of cocaine,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Take medicines on time
Alternating exotropia with V pattern,Monitor vitals regularly,Maintain hygiene,Drink plenty of water,Avoid oily food
Partial traumatic transphalangeal amputation of unspecified finger,Maintain hygiene,Get adequate rest,Monitor vitals regularly,Avoid oily food
Rheumatoid vasculitis with rheumatoid arthritis of hip,Take medicines on time,Monitor vitals regularly,Get adequate rest,Drink plenty of water
"Military operations involving explosion of sea-based artillery shell, military personnel",Get adequate rest,Avoid oily food,Drink plenty of water,Exercise lightly
Adverse effect of iron and its compounds,Get adequate rest,Take medicines on time,Maintain hygiene,Drink plenty of water
"Age-related osteoporosis with current pathological fracture, left forearm",Avoid oily food,Monitor vitals regularly,Take medicines on time,Exercise lightly
Explosion and rupture of other specified pressurized devices,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Get adequate rest
Secondary infectious iridocyclitis,Drink plenty of water,Take medicines on time,Monitor vitals regularly,Maintain hygiene
"Malignant neoplasm of axillary tail of breast, male",Get adequate rest,Maintain hygiene,Take medicines on time,Avoid oily food
Fall from tree,Maintain hygiene,Exercise lightly,Take medicines on time,Monitor vitals regularly
Other polyglandular dysfunction,Maintain hygiene,Drink plenty of water,Monitor vitals regularly,Exercise lightly
Malignant neoplasm of placenta,Monitor vitals regularly,Exercise lightly,Take medicines on time,Avoid oily food
Embolism and thrombosis of inferior vena cava,Drink plenty of water,Maintain hygiene,Take medicines on time,Exercise lightly
Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration,Maintain hygiene,Exercise lightly,Avoid oily food,Get adequate rest
"Asphyxiation due to smothering under pillow, undetermined",Monitor vitals regularly,Get adequate rest,Drink plenty of water,Exercise lightly
"Maxillary fracture, left side",Take medicines on time,Get adequate rest,Exercise lightly,Maintain hygiene
Influenza due to identified novel influenza A virus,Get adequate rest,Take medicines on time,Exercise lightly,Monitor vitals regularly
"Toxic effect of venom of other North and South American snake, assault",Monitor vitals regularly,Get adequate rest,Drink plenty of water,Avoid oily food
Occupant of streetcar injured by fall in streetcar,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Take medicines on time
Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,Take medicines on time,Exercise lightly,Maintain hygiene,Drink plenty of water
"War operations involving unspecified explosion and fragments, civilian",Take medicines on time,Exercise lightly,Maintain hygiene,Get adequate rest
Partial traumatic amputation of left breast,Drink plenty of water,Monitor vitals regularly,Maintain hygiene,Avoid oily food
"Asphyxiation due to smothering under pillow, accidental",Maintain hygiene,Exercise lightly,Monitor vitals regularly,Drink plenty of water
"Salter-Harris Type I physeal fracture of upper end of humerus, unspecified arm",Take medicines on time,Get adequate rest,Drink plenty of water,Exercise lightly
Other fracture of upper end of unspecified tibia,Drink plenty of water,Avoid oily food,Monitor vitals regularly,Take medicines on time
Underdosing of antimalarials and drugs acting on other blood protozoa,Maintain hygiene,Avoid oily food,Take medicines on time,Drink plenty of water
Adverse effect of other vaccines and biological substances,Exercise lightly,Get adequate rest,Monitor vitals regularly,Take medicines on time
Crushing injury of right hand,Avoid oily food,Monitor vitals regularly,Drink plenty of water,Exercise lightly
Other atherosclerosis of other type of bypass graft(s) of the extremities,Get adequate rest,Avoid oily food,Take medicines on time,Drink plenty of water
Rheumatoid arthritis with rheumatoid factor of elbow without organ or systems involvement,Maintain hygiene,Drink plenty of water,Get adequate rest,Avoid oily food
Laceration with foreign body of left ring finger with damage to nail,Exercise lightly,Avoid oily food,Take medicines on time,Drink plenty of water
Intermittent alternating esotropia,Monitor vitals regularly,Maintain hygiene,Get adequate rest,Avoid oily food
Person boarding or alighting a pick-up truck or van injured in noncollision transport accident,Maintain hygiene,Exercise lightly,Avoid oily food,Monitor vitals regularly
"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident",Exercise lightly,Maintain hygiene,Take medicines on time,Drink plenty of water
Unspecified otosclerosis,Take medicines on time,Drink plenty of water,Maintain hygiene,Avoid oily food
Unspecified fracture of shaft of unspecified radius,Get adequate rest,Monitor vitals regularly,Exercise lightly,Drink plenty of water
"Laceration of intrinsic muscle, fascia and tendon of right thumb at wrist and hand level",Take medicines on time,Avoid oily food,Get adequate rest,Maintain hygiene
Cerebrovascular disorders in diseases classified elsewhere,Drink plenty of water,Take medicines on time,Get adequate rest,Exercise lightly
Displacement of cranial or spinal infusion catheter,Exercise lightly,Maintain hygiene,Monitor vitals regularly,Take medicines on time
Circadian rhythm sleep disorders,Take medicines on time,Maintain hygiene,Exercise lightly,Avoid oily food
"Poisoning by barbiturates, undetermined",Exercise lightly,Drink plenty of water,Avoid oily food,Take medicines on time
"Chronic gout due to renal impairment, unspecified site",Maintain hygiene,Take medicines on time,Avoid oily food,Exercise lightly
"Disorders of muscle in diseases classified elsewhere, forearm",Exercise lightly,Monitor vitals regularly,Drink plenty of water,Maintain hygiene
Drowning and submersion due to canoe or kayak overturning,Exercise lightly,Maintain hygiene,Take medicines on time,Monitor vitals regularly
"Juvenile myoclonic epilepsy, not intractable",Avoid oily food,Monitor vitals regularly,Take medicines on time,Get adequate rest
Fall in (into) bucket of water causing other injury,Get adequate rest,Monitor vitals regularly,Take medicines on time,Maintain hygiene
Exfoliation due to erythematous conditions according to extent of body surface involved,Exercise lightly,Maintain hygiene,Drink plenty of water,Monitor vitals regularly
"Other synovitis and tenosynovitis, shoulder",Avoid oily food,Monitor vitals regularly,Take medicines on time,Drink plenty of water
Other nonpowered-aircraft accidents injuring occupant,Drink plenty of water,Get adequate rest,Maintain hygiene,Monitor vitals regularly
Corrosion of third degree of right toe(s) (nail),Maintain hygiene,Take medicines on time,Drink plenty of water,Monitor vitals regularly
"Injury of sciatic nerve at hip and thigh level, unspecified leg",Maintain hygiene,Exercise lightly,Avoid oily food,Take medicines on time
"Laceration of muscle and tendon of long flexor muscle of toe at ankle and foot level, right foot",Monitor vitals regularly,Maintain hygiene,Avoid oily food,Take medicines on time
"Complete traumatic amputation at level between knee and ankle, unspecified lower leg",Monitor vitals regularly,Avoid oily food,Get adequate rest,Take medicines on time
Salter-Harris Type IV physeal fracture of lower end of unspecified femur,Monitor vitals regularly,Drink plenty of water,Exercise lightly,Avoid oily food
Orchitis and epididymitis,Drink plenty of water,Get adequate rest,Exercise lightly,Take medicines on time
Striking against other object with subsequent fall,Monitor vitals regularly,Avoid oily food,Maintain hygiene,Take medicines on time
Atherosclerosis of other type of bypass graft(s) of other extremity with ulceration,Drink plenty of water,Monitor vitals regularly,Maintain hygiene,Get adequate rest
"Laceration of extensor muscle, fascia and tendon of left ring finger at forearm level",Avoid oily food,Monitor vitals regularly,Drink plenty of water,Maintain hygiene
Unstable burst fracture of unspecified lumbar vertebra,Take medicines on time,Maintain hygiene,Drink plenty of water,Exercise lightly
Unspecified motorcycle rider injured in collision with two- or three-wheeled motor vehicle in nontraffic accident,Drink plenty of water,Monitor vitals regularly,Get adequate rest,Avoid oily food
Car driver injured in collision with pick-up truck in nontraffic accident,Take medicines on time,Monitor vitals regularly,Avoid oily food,Exercise lightly
Nausea and vomiting,Monitor vitals regularly,Take medicines on time,Get adequate rest,Maintain hygiene
"Stenosis due to nervous system prosthetic devices, implants and grafts",Maintain hygiene,Drink plenty of water,Get adequate rest,Avoid oily food
"Poisoning by penicillins, accidental (unintentional)",Exercise lightly,Drink plenty of water,Take medicines on time,Get adequate rest
"Military operations involving accidental detonation of onboard marine weapons, military personnel",Maintain hygiene,Take medicines on time,Avoid oily food,Get adequate rest
"Type III occipital condyle fracture, unspecified side",Avoid oily food,Maintain hygiene,Take medicines on time,Monitor vitals regularly
Sleep terrors [night terrors],Exercise lightly,Take medicines on time,Avoid oily food,Drink plenty of water
"Contracture of muscle, hand",Get adequate rest,Maintain hygiene,Monitor vitals regularly,Exercise lightly
Embolism and thrombosis of other specified veins,Get adequate rest,Maintain hygiene,Exercise lightly,Drink plenty of water
"Displaced fracture of hook process of hamate [unciform] bone, right wrist",Take medicines on time,Maintain hygiene,Avoid oily food,Monitor vitals regularly
"Other juvenile arthritis, elbow",Monitor vitals regularly,Get adequate rest,Maintain hygiene,Drink plenty of water
"Salter-Harris Type IV physeal fracture of lower end of radius, left arm",Maintain hygiene,Exercise lightly,Monitor vitals regularly,Drink plenty of water
