Disease,Description
Contusion of unspecified finger with damage to nail,Contusion of unspecified finger with damage to nail is a medical condition that requires attention. Symptoms may vary.
"Other intestinal helminthiases, not elsewhere classified","Other intestinal helminthiases, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
Unspecified superficial injury of right ear,Unspecified superficial injury of right ear is a medical condition that requires attention. Symptoms may vary.
"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder","Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder is a medical condition that requires attention. Symptoms may vary."
Corrosion of second degree of left upper arm,Corrosion of second degree of left upper arm is a medical condition that requires attention. Symptoms may vary.
Other subluxation of unspecified radial head,Other subluxation of unspecified radial head is a medical condition that requires attention. Symptoms may vary.
Preparatory care for renal dialysis,Preparatory care for renal dialysis is a medical condition that requires attention. Symptoms may vary.
Situs inversus,Situs inversus is a medical condition that requires attention. Symptoms may vary.
"Poisoning by hydantoin derivatives, undetermined","Poisoning by hydantoin derivatives, undetermined is a medical condition that requires attention. Symptoms may vary."
"Gangrene, not elsewhere classified","Gangrene, not elsewhere classified is a medical condition that requires attention. Symptoms may vary."
Unspecified psychosis not due to a substance or known physiological condition,Unspecified psychosis not due to a substance or known physiological condition is a medical condition that requires attention. Symptoms may vary.
"Poisoning by local astringents and local detergents, assault","Poisoning by local astringents and local detergents, assault is a medical condition that requires attention. Symptoms may vary."
"Poisoning by other hormone antagonists, accidental (unintentional)","Poisoning by other hormone antagonists, accidental (unintentional) is a medical condition that requires attention. Symptoms may vary."
"Pathological fracture in neoplastic disease, right radius","Pathological fracture in neoplastic disease, right radius is a medical condition that requires attention. Symptoms may vary."
"Unspecified injury of other specified muscles, fascia and tendons at wrist and hand level, right hand","Unspecified injury of other specified muscles, fascia and tendons at wrist and hand level, right hand is a medical condition that requires attention. Symptoms may vary."
Other monocytic leukemia,Other monocytic leukemia is a medical condition that requires attention. Symptoms may vary.
"Toxic effect of sulfur dioxide, assault","Toxic effect of sulfur dioxide, assault is a medical condition that requires attention. Symptoms may vary."
Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident,Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
"Myositis ossificans progressiva, multiple sites","Myositis ossificans progressiva, multiple sites is a medical condition that requires attention. Symptoms may vary."
Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula is a medical condition that requires attention. Symptoms may vary.
Traumatic rupture of unspecified radial collateral ligament,Traumatic rupture of unspecified radial collateral ligament is a medical condition that requires attention. Symptoms may vary.
Partial traumatic transphalangeal amputation of left middle finger,Partial traumatic transphalangeal amputation of left middle finger is a medical condition that requires attention. Symptoms may vary.
Leakage of unspecified cardiac and vascular devices and implants,Leakage of unspecified cardiac and vascular devices and implants is a medical condition that requires attention. Symptoms may vary.
Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident,Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident is a medical condition that requires attention. Symptoms may vary.
"External constriction of part of breast, right breast","External constriction of part of breast, right breast is a medical condition that requires attention. Symptoms may vary."
Other physeal fracture of lower end of left tibia,Other physeal fracture of lower end of left tibia is a medical condition that requires attention. Symptoms may vary.
Occlusion and stenosis of basilar artery,Occlusion and stenosis of basilar artery is a medical condition that requires attention. Symptoms may vary.
Unspecified motorcycle rider injured in noncollision transport accident in nontraffic accident,Unspecified motorcycle rider injured in noncollision transport accident in nontraffic accident is a medical condition that requires attention. Symptoms may vary.
